filename,year_month,title,avg_sentiment
2023-10-13_3174.txt,2023-10,Israel-Hamas updates: Thousands flee as Israel starts ground raids in Gaza,1.0
2024-01-01_1535.txt,2024-01,Iran deploys warship to Red Sea amid soaring tensions,0.91
2023-10-09_3264.txt,2023-10,Hezbollah fires on Israel after several members killed in shelling,0.72
2024-01-19_1352.txt,2024-01,US says ‘not at war’ with Houthis; Biden admits strikes not halting attacks,0.73
2023-10-13_3145.txt,2023-10,At least 16 Palestinians killed by Israeli forces in the West Bank,0.67
2023-10-31_2703.txt,2023-10,"Israel-Hamas war: List of key events, day 25",1.0
2024-01-21_1327.txt,2024-01,Israel’s Netanyahu doubles down on opposition to Palestinian statehood,0.46
2023-10-10_3248.txt,2023-10,What to know about the deadly Hamas attack on an Israeli music festival,0.67
2024-01-09_1458.txt,2024-01,Q&A: Former Biden appointee says US policy is ‘dehumanising’ Palestinians,0.78
2024-01-23_1303.txt,2024-01,Israel reportedly pushing deal to release captives without ending war,0.75
2024-01-28_1242.txt,2024-01,UK says it thwarted Houthis’ drone attack in the Red Sea,0.88
2024-01-25_1284.txt,2024-01,"Israel’s war on Gaza: List of key events, day 111",1.0
2024-01-17_1365.txt,2024-01,Trauma replaces joy for mothers giving birth during Israel’s war on Gaza,0.77
2023-10-26_2832.txt,2023-10,The Take: Ukraine and Gaza wars – is there a double standard at play?,1.11
2024-01-16_1382.txt,2024-01,"Israel’s war on Gaza: List of key events, day 102",1.0
2023-10-17_3049.txt,2023-10,Jordan cancels Biden summit after hundreds killed in Gaza hospital blast,0.62
2023-10-10_3256.txt,2023-10,Israel-Hamas updates: US set to deploy ‘additional assets’ to Middle East,1.0
2024-01-25_1282.txt,2024-01,How is the White House spinning the media on the Gaza war?,1.0
2023-10-13_3155.txt,2023-10,What is the Israeli unity government and what does it want to achieve?,0.9
2023-10-14_3122.txt,2023-10,Gaza doctors warn of a humanitarian catastrophe after Israeli attacks,0.48
2023-10-16_3095.txt,2023-10,The myth of Israel’s ‘most moral army’,0.65
2023-10-27_2799.txt,2023-10,Angela Davis: ‘Palestine is a moral litmus test for the world’,1.2
2023-10-29_2742.txt,2023-10,Angry crowd storms Russia’s Dagestan airport to protest flight from Israel,0.68
2023-10-26_2824.txt,2023-10,Is anywhere in Gaza safe from Israeli attacks?,1.0
2024-01-23_1304.txt,2024-01,"Israel’s war on Gaza: List of key events, day 109",1.0
2023-10-31_2682.txt,2023-10,The Take: What is the risk of wider conflict between Israel and Hezbollah?,1.09
2023-10-14_3121.txt,2023-10,The Gaza medics who won’t give in to Israel’s evacuation demand,0.62
2023-10-12_3187.txt,2023-10,Israel cripples Syria’s two main airports in strikes: Syrian state media,0.47
2023-10-29_2747.txt,2023-10,Western coverage of Israel’s war on Gaza – bias or unprofessionalism?,0.75
2024-01-14_1404.txt,2024-01,What will be the outcome of the ICJ genocide case against Israel?,0.83
